"scenario","tag","vus","records","depth","sizeKb","duration","requests","rps","latencyAvg","latencyMed","latencyP90","latencyP95","latencyP99","latencyMax","dataReceivedBytes","dataSentBytes","failed"
"params","deno-app-v2.9.2",200,"","","","60s",916223,13086.27227278869,12.353819642328187,10.604192,22.698569000000003,29.843750099999934,43.76398558000002,118.599969,159422802,335337618,0
"params","deno-app-v2.9.2",50,"","","","60s",1036064,14796.810438534483,3.061246178341249,2.393886,5.7057037000000035,7.584686649999999,13.915255599999998,91.990224,180275136,379199424,0
"minimal","deno-app-v2.9.2",100,"","","","30s",657669,16436.1528084895,5.16772105942194,4.073995,10.9417892,13.174800399999997,21.853038199999983,66.92582,103254033,60505548,0
"minimal","deno-app-v2.9.2",200,"","","","30s",605685,15140.026426175544,10.524472915950248,8.894211,19.880354999999998,25.45094199999996,40.025192160000024,148.167603,95092545,55723020,0
"minimal","deno-app-v2.9.2",500,"","","","30s",539732,13486.817694594589,30.771314403876016,28.615586999999998,53.80508080000002,72.16240949999997,88.83206318999994,146.533763,84737924,49655344,0
"nested","deno-app-v2.9.2",100,100,1,"","60s",111353,1589.4954262066556,55.05449011819219,55.226696,85.472649,99.07996339999998,145.16748631999974,320.677875,378043435,12582889,0
"nested","deno-app-v2.9.2",50,100,1,"","60s",115907,1654.8631252840462,26.014481567834306,25.374144,41.417938400000004,47.621565999999994,66.7672476,219.606479,393504265,13097491,0
"nested","deno-app-v2.9.2",100,100,2,"","60s",91070,1299.6874918708345,66.31713457983993,65.129434,108.17812900000004,136.79518400000003,192.07278670999997,560.089882,363824650,10290910,0
"nested","deno-app-v2.9.2",50,100,2,"","60s",92956,1327.231974519131,31.720289790061745,30.1077075,52.6482555,65.10931049999999,95.52518049999999,302.583047,371359220,10504028,0
"nested","deno-app-v2.9.2",100,100,3,"","60s",75947,1083.6162132277534,79.12039379687153,78.598945,132.4469620000001,165.652175,232.6412649999995,481.827524,348976465,8582011,0
"nested","deno-app-v2.9.2",50,100,3,"","60s",78828,1125.1650179525489,36.67173617861663,33.206061,64.54722840000001,83.00813164999998,127.19735789999994,353.081555,362214660,8907564,0
"post","deno-app-v2.9.2",100,100,"","","60s",92193,1315.2938995706504,67.51033238277296,68.934069,100.89532100000002,113.05684899999997,156.09155180000005,305.787388,1069070028,21020004,0
"post","deno-app-v2.9.2",200,100,"","","60s",87953,1251.9699539864405,132.9804105909066,136.416317,205.93935720000002,225.9015919999999,328.2875784,702.309884,1019902988,20053284,0
