timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1769005434,0.41,37.64,31334.40,0.12
1769005438,0.57,36.91,31334.40,0.12
1769005441,0.59,36.81,31334.40,0.12
1769005444,0.64,36.77,31334.40,0.12
1769005447,0.86,36.76,31334.40,0.12
1769005450,0.52,36.75,31334.40,0.12
1769005453,0.63,36.75,31334.40,0.12
1769005456,0.56,36.73,31334.40,0.12
1769005459,0.41,36.73,31334.40,0.12
1769005462,0.01,36.73,31334.40,0.12
1769005465,0.01,36.73,31334.40,0.12
1769005468,0.01,36.73,31334.40,0.12
1769005472,0.01,36.25,31334.40,0.12
1769005475,0.01,36.25,31334.40,0.12
1769005478,0.01,36.25,31334.40,0.12
1769005481,0.01,36.23,31334.40,0.12
1769005484,0.01,36.23,31334.40,0.12
1769005487,0.00,36.23,31334.40,0.12
1769005490,0.31,36.63,31334.40,0.12
1769005493,1.17,37.13,31334.40,0.12
1769005496,0.53,34.78,31334.40,0.11
1769005499,0.71,34.78,31334.40,0.11
1769005502,0.55,34.78,31334.40,0.11
1769005505,0.28,34.78,31334.40,0.11
1769005509,0.30,34.78,31334.40,0.11
1769005512,0.45,34.78,31334.40,0.11
1769005515,0.59,34.78,31334.40,0.11
1769005518,0.61,34.78,31334.40,0.11
1769005521,0.54,34.78,31334.40,0.11
1769005524,0.65,34.78,31334.40,0.11
1769005527,0.01,34.79,31334.40,0.11
1769005530,0.01,34.79,31334.40,0.11
1769005533,0.02,34.79,31334.40,0.11
1769005536,0.01,34.39,31334.40,0.11
1769005539,0.01,34.39,31334.40,0.11
1769005543,0.01,34.39,31334.40,0.11
1769005546,0.02,34.37,31334.40,0.11
1769005549,0.01,34.37,31334.40,0.11
1769005552,0.01,34.37,31334.40,0.11
1769005555,0.49,34.77,31334.40,0.11
1769005558,0.01,34.77,31334.40,0.11
1769005561,0.00,34.77,31334.40,0.11
1769005564,0.00,34.77,31334.40,0.11
1769005567,0.01,34.39,31334.40,0.11
1769005570,0.01,34.39,31334.40,0.11
1769005573,0.01,34.39,31334.40,0.11
1769005576,0.01,34.37,31334.40,0.11
1769005579,0.01,34.37,31334.40,0.11
1769005583,0.01,34.37,31334.40,0.11
1769005586,0.06,34.77,31334.40,0.11
1769005589,0.01,34.77,31334.40,0.11
1769005592,0.01,34.77,31334.40,0.11
1769005595,0.21,34.39,31334.40,0.11
1769005598,0.01,34.39,31334.40,0.11
1769005601,0.01,34.39,31334.40,0.11
1769005604,0.01,34.39,31334.40,0.11
1769005607,0.00,34.37,31334.40,0.11
1769005610,0.01,34.37,31334.40,0.11
1769005613,0.02,34.37,31334.40,0.11
1769005616,0.01,34.78,31334.40,0.11
1769005620,0.01,34.78,31334.40,0.11
1769005623,0.01,34.78,31334.40,0.11
1769005626,0.02,34.39,31334.40,0.11
1769005629,0.01,34.39,31334.40,0.11
1769005632,0.01,34.39,31334.40,0.11
1769005635,0.01,34.37,31334.40,0.11
1769005638,0.01,34.37,31334.40,0.11
1769005641,0.00,34.37,31334.40,0.11
1769005644,0.83,34.77,31334.40,0.11
1769005647,0.00,34.77,31334.40,0.11
1769005650,0.01,34.77,31334.40,0.11
1769005653,0.01,34.77,31334.40,0.11
1769005656,0.00,34.39,31334.40,0.11
