timestamp,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1769005435,0.16,37.91,31334.40,0.12
1769005438,0.16,37.91,31334.40,0.12
1769005441,0.19,37.91,31334.40,0.12
1769005444,0.15,37.91,31334.40,0.12
1769005447,0.14,37.91,31334.40,0.12
1769005450,0.14,37.91,31334.40,0.12
1769005453,0.16,37.91,31334.40,0.12
1769005456,0.19,37.91,31334.40,0.12
1769005459,0.15,37.91,31334.40,0.12
1769005462,0.14,37.91,31334.40,0.12
1769005465,0.16,37.91,31334.40,0.12
1769005468,0.18,37.91,31334.40,0.12
1769005472,0.15,37.91,31334.40,0.12
1769005475,0.17,37.91,31334.40,0.12
1769005478,0.13,37.91,31334.40,0.12
1769005481,0.17,37.91,31334.40,0.12
1769005484,0.15,37.91,31334.40,0.12
1769005487,0.16,37.91,31334.40,0.12
1769005490,0.15,37.91,31334.40,0.12
1769005493,0.17,37.91,31334.40,0.12
1769005496,0.17,37.91,31334.40,0.12
1769005499,0.16,37.91,31334.40,0.12
1769005502,0.16,37.91,31334.40,0.12
1769005505,0.15,37.91,31334.40,0.12
1769005509,0.16,37.91,31334.40,0.12
1769005512,0.14,37.91,31334.40,0.12
1769005515,0.15,37.91,31334.40,0.12
1769005518,0.14,37.91,31334.40,0.12
1769005521,0.15,37.91,31334.40,0.12
1769005524,0.17,37.91,31334.40,0.12
1769005527,0.17,37.91,31334.40,0.12
1769005530,0.16,37.91,31334.40,0.12
1769005533,0.17,37.91,31334.40,0.12
1769005536,0.18,37.91,31334.40,0.12
1769005539,0.16,37.91,31334.40,0.12
1769005543,0.13,37.91,31334.40,0.12
1769005546,0.14,37.91,31334.40,0.12
1769005549,0.15,37.91,31334.40,0.12
1769005552,0.14,37.91,31334.40,0.12
1769005555,0.16,37.91,31334.40,0.12
1769005558,0.15,37.91,31334.40,0.12
1769005561,0.14,37.91,31334.40,0.12
1769005564,0.15,37.91,31334.40,0.12
1769005567,0.15,37.91,31334.40,0.12
1769005570,0.15,37.91,31334.40,0.12
1769005573,0.12,37.91,31334.40,0.12
1769005576,0.13,37.91,31334.40,0.12
1769005579,0.16,37.91,31334.40,0.12
1769005583,0.17,37.91,31334.40,0.12
1769005586,0.17,37.91,31334.40,0.12
1769005589,0.14,37.91,31334.40,0.12
1769005592,0.16,37.91,31334.40,0.12
1769005595,0.15,37.91,31334.40,0.12
1769005598,0.14,37.91,31334.40,0.12
1769005601,0.15,37.91,31334.40,0.12
1769005604,0.18,37.91,31334.40,0.12
1769005607,0.16,37.91,31334.40,0.12
1769005610,0.15,37.91,31334.40,0.12
1769005613,0.15,37.91,31334.40,0.12
1769005616,0.17,37.91,31334.40,0.12
1769005619,0.16,37.91,31334.40,0.12
1769005623,0.15,37.91,31334.40,0.12
1769005626,0.16,37.91,31334.40,0.12
1769005629,0.14,37.91,31334.40,0.12
1769005632,0.15,37.91,31334.40,0.12
1769005635,0.16,37.91,31334.40,0.12
